,symbol,company_name,industry,market_cap
1140,CERN,Cerner,Health Care Technology,27710000000.0
1141,CERS,Cerus,Health Care Equipment & Supplies,934020000.0
1142,CERT,Certara,Health Information Services,3050000000.0
1143,CET,Central Securities,Asset Management,1040000000.0
1144,CETX,Cemtrex,"Electronic Equipment, Instruments & C...",7320000.0
1145,CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment,801480000.0
1146,CF,CF Industries Holdings,Chemicals,21670000000.0
1147,CFB,CrossFirst Bankshares,Banks,634970000.0
1148,CFBK,CF Bankshares,Thrifts & Mortgage Finance,134100000.0
1149,CFFE,CF Acquisition VIII,Blank Check / SPAC,319810000.0
1150,CFFI,C&F Financial,Banks,180720000.0
1151,CFFN,Capitol Federal Financial,Thrifts & Mortgage Finance,1330000000.0
1152,CFFS,CF Acquisition VII,Blank Check / SPAC,221240000.0
1153,CFG,Citizens Financial Group,Banks,18800000000.0
1154,CFIV,CF Acquisition IV,Blank Check / SPAC,622930000.0
1155,CFLT,Confluent,Software-Infrastructure,6000000000.0
1156,CFMS,Conformis,Health Care Equipment & Supplies,69030000.0
1157,CFR,Cullen/Frost Bankers,Banks,7990000000.0
1158,CFRX,ContraFect,Biotechnology,127440000.0
1159,CFSB,CFSB Bancorp,Banks-Regional,61630000.0
1160,CFVI,CF Acquisition VI,Blank Check / SPAC,419050000.0
1161,CG,The Carlyle Group,Capital Markets,13620000000.0
1162,CGA,China Green Agriculture,Chemicals,96710000.0
1163,CGAU,Centerra Gold,Gold,2380000000.0
1164,CGBD,TCG BDC,Capital Markets,754450000.0
1165,CGC,Canopy Growth,Pharmaceuticals,2350000000.0
1166,CGEM,Cullinan Oncology,Biotechnology,475590000.0
1167,CGEN,Compugen,Life Sciences Tools & Services,166870000.0
1168,CGNT,Cognyte Software,Software-Infrastructure,451700000.0
1169,CGNX,Cognex,"Electronic Equipment, Instruments & C...",8680000000.0
1170,CGRN,Capstone Green Energy,Specialty Industrial Machinery,39690000.0
1171,CGTX,Cognition Therapeutics,Biotechnology,67550000.0
1172,CHAA,Catcha Investment,Blank Check / SPAC,367120000.0
1173,CHCI,Comstock Holding Companies,Household Durables,33330000.0
1174,CHCO,City Holding Company,Banks,1170000000.0
1175,CHCT,Community Healthcare Trust,Equity Real Estate Investment Trusts ...,910630000.0
1176,CHD,Church & Dwight Company,Household Products,23830000000.0
1177,CHDN,Churchill Downs,"Hotels, Restaurants & Leisure",7370000000.0
1178,CHE,Chemed,Health Care Providers & Services,7470000000.0
1179,CHEA,Chenghe Acquisition Co.,Blank Check / SPAC,125630000.0
1180,CHEF,The Chefs' Warehouse,Food & Staples Retailing,1400000000.0
1181,CHEK,Check-Cap,Health Care Equipment & Supplies,41140000.0
1182,CHGG,Chegg,Diversified Consumer Services,2290000000.0
1183,CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",7160000000.0
1184,CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",10920000000.0
1185,CHKP,Check Point Software Technologies,Software,15660000000.0
1186,CHMG,Chemung Financial,Banks,214400000.0
1187,CHMI,Cherry Hill Mortgage Investment,Mortgage Real Estate Investment Trust...,131780000.0
1188,CHNG,Change Healthcare,Health Care Technology,7100000000.0
1189,CHNR,China Natural Resources,Metals & Mining,28250000.0
1190,CHPT,ChargePoint Holdings,Specialty Retail,3490000000.0
1191,CHRA,Charah Solutions,Commercial Services & Supplies,86680000.0
1192,CHRS,Coherus BioSciences,Biotechnology,615510000.0
1193,CHRW,C.H. Robinson Worldwide,Air Freight & Logistics,13460000000.0
1194,CHS,Chico's FAS,Specialty Retail,623210000.0
1195,CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,32659999999.999996
1196,CHTR,Charter Communications,Media,79130000000.0
1197,CHUY,Chuy's Holdings,"Hotels, Restaurants & Leisure",435000000.0
1198,CHWA,CHW Acquisition,Blank Check / SPAC,154680000.0
1199,CHWY,Chewy,Internet & Direct Marketing Retail,11760000000.0
1200,CHX,ChampionX,Energy Equipment & Services,4430000000.0
1201,CI,Cigna,Health Care Providers & Services,82230000000.0
1202,CIA,Citizens,Insurance,159100000.0
1203,CIAN,Cian PLC,Real Estate Services,237560000.0
1204,CIB,Bancolombia,Banks,9020000000.0
1205,CIDM,Cinedigm,Entertainment,114750000.0
1206,CIEN,Ciena,Communications Equipment,7970000000.0
1207,CIFR,Cipher Mining,Capital Markets,479730000.0
1208,CIG,Companhia Energetica de Minas Gerais,Electric Utilities,5830000000.0
1209,CIGI,Colliers International Group,Real Estate Management & Development,4840000000.0
1210,CIH,China Index Holdings,Professional Services,72350000.0
1211,CIIG,CIIG Capital Partners II,Blank Check / SPAC,355780000.0
1212,CIM,Chimera Investment,Mortgage Real Estate Investment Trust...,2300000000.0
1213,CINC,CinCor Pharma,Biotechnology,795300000.0
1214,CINF,Cincinnati Financial,Insurance,20240000000.0
1215,CING,Cingulate,Biotechnology,14020000.0
1216,CINT,CI&T Inc.,Software-Infrastructure,1850000000.0
1217,CIO,City Office REIT,Equity Real Estate Investment Trusts ...,571000000.0
1218,CION,CĪON Investment,Asset Management,590090000.0
1219,CIR,CIRCOR International,Machinery,389760000.0
1220,CISO,Cerberus Cyber Sentinel,Software-Infrastructure,611140000.0
1221,CITE,Cartica Acquisition,Blank Check / SPAC,287790000.0
1222,CIVB,Civista Bancshares,Banks,307000000.0
1223,CIVI,Civitas Resources,Oil & Gas E&P,5280000000.0
1224,CIX,CompX International,Commercial Services & Supplies,275590000.0
1225,CIXX,CI Financial,Asset Management,2270000000.0
1226,CIZN,Citizens Holding Company,Banks,100530000.0
1227,CJJD,China Jo-Jo Drugstores,Food & Staples Retailing,6580000.0
1228,CKPT,Checkpoint Therapeutics,Biotechnology,116340000.0
1229,CKX,CKX Lands,Real Estate Management & Development,21960000.0
1230,CL,Colgate-Palmolive Company,Household Products,65690000000.0
1231,CLAA,Colonnade Acquisition II,Blank Check / SPAC,403010000.0
1232,CLAQ,CleanTech Acquisition,Blank Check / SPAC,216270000.0
1233,CLAR,Clarus,Leisure Products,828610000.0
1234,CLAS,Class Acceleration,Blank Check / SPAC,316650000.0
1235,CLAY,Chavant Capital Acquisition,Blank Check / SPAC,99600000.0
1236,CLB,Core Laboratories,Energy Equipment & Services,1080000000.0
1237,CLBK,Columbia Financial,Thrifts & Mortgage Finance,2230000000.0
1238,CLBR,Colombier Acquisition,Blank Check / SPAC,208940000.0
1239,CLBS,Caladrius Biosciences,Biotechnology,27290000.0
1240,CLBT,Cellebrite DI,Software-Infrastructure,972870000.0
1241,CLDT,Chatham Lodging Trust,Equity Real Estate Investment Trusts ...,583220000.0
1242,CLDX,Celldex Therapeutics,Biotechnology,1400000000.0
1243,CLEU,China Liberal Education Holdings,Education & Training Services,45640000.0
1244,CLF,Cleveland-Cliffs,Metals & Mining,11400000000.0
1245,CLFD,Clearfield,Communications Equipment,737610000.0
1246,CLGN,CollPlant Biotechnologies,Biotechnology,89740000.0
1247,CLH,Clean Harbors,Commercial Services & Supplies,4940000000.0
1248,CLIM,Climate Real Impact Solutions II Acquisition,Blank Check / SPAC,295230000.0
1249,CLIN,Clean Earth Acquisitions,Blank Check / SPAC,288770000.0
1250,CLIR,ClearSign Technologies,"Electronic Equipment, Instruments & C...",39560000.0
1251,CLLS,Cellectis,Biotechnology,154630000.0
1252,CLMT,Calumet Specialty Products Partners,"Oil, Gas & Consumable Fuels",1070000000.0000001
1253,CLNE,Clean Energy Fuels,"Oil, Gas & Consumable Fuels",1080000000.0
1254,CLNN,Clene,Biotechnology,132840000.0
1255,CLOE,Clover Leaf Capital,Blank Check / SPAC,183200000.0
1256,CLOV,"Clover Health Investments,",Healthcare Plans,1240000000.0
1257,CLPR,Clipper Realty,Equity Real Estate Investment Trusts ...,591490000.0
1258,CLPS,CLPS Incorporation,IT Services,37000000.0
1259,CLPT,ClearPoint Neuro,Health Care Equipment & Supplies,202700000.0
1260,CLR,Continental Resources,"Oil, Gas & Consumable Fuels",21000000000.0
1261,CLRB,Cellectar BioSciences,Biotechnology,23220000.0
1262,CLRC,ClimateRock,Blank Check / SPAC,101860000.0
1263,CLRM,Clarim Acquisition,Blank Check / SPAC,351470000.0
1264,CLRO,ClearOne,Communications Equipment,12800000.0
1265,CLS,Celestica,"Electronic Equipment, Instruments & C...",1310000000.0
1266,CLSD,Clearside Biomedical,Pharmaceuticals,84810000.0
1267,CLSK,Cleanspark,Software,262079999.99999997
1268,CLSN,Celsion,Biotechnology,18100000.0
1269,CLST,Catalyst Bancorp,Banks-Regional,64430000.00000001
1270,CLVR,Clever Leaves Holdings,Drug Manufacturers-Specialty & Generic,31930000.0
1271,CLVS,Clovis Oncology,Biotechnology,112440000.0
1272,CLVT,Clarivate,Professional Services,9810000000.0
1273,CLW,Clearwater Paper,Paper & Forest Products,556780000.0
1274,CLWT,Euro Tech Holdings Company,Trading Companies & Distributors,10900000.0
1275,CLX,The Clorox Company,Household Products,19480000000.0
1276,CLXT,Calyxt,Biotechnology,14780000.0
1277,CM,Canadian Imperial Bank of Commerce,Banks,47970000000.0
1278,CMA,Comerica,Banks,9970000000.0
1279,CMAX,CareMax,Health Information Services,393160000.0
1280,CMBM,Cambium Networks,Communications Equipment,380380000.0
1281,CMC,Commercial Metals Company,Metals & Mining,4420000000.0
1282,CMCA,Capitalworks Emerging Markets Acquisition,Blank Check / SPAC,287500000.0
1283,CMCL,Caledonia Mining,Metals & Mining,164140000.0
1284,CMCM,Cheetah Mobile,Software,104200000.0
1285,CMCO,Columbus McKinnon,Machinery,949590000.0
1286,CMCSA,Comcast,Media,185830000000.0
1287,CMCT,CIM Commercial Trust,Equity Real Estate Investment Trusts ...,161250000.0
1288,CME,CME Group,Capital Markets,71920000000.0
1289,CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",36860000000.0
1290,CMI,Cummins,Machinery,28380000000.0
1291,CMLS,Cumulus Media,Media,265510000.0
1292,CMMB,Chemomab Therapeutics,Biotechnology,31820000.0
1293,CMP,Compass Minerals International,Metals & Mining,1480000000.0
1294,CMPI,Checkmate Pharmaceuticals,Biotechnology,229890000.0
1295,CMPO,CompoSecure,Shell Companies,492590000.0
1296,CMPR,Cimpress,Commercial Services & Supplies,1180000000.0
1297,CMPS,COMPASS Pathways,Health Care Providers & Services,324360000.0
1298,CMPX,Compass Therapeutics,Biotechnology,257260000.0
1299,CMRE,Costamare,Marine,1670000000.0
1300,CMRX,Chimerix,Biotechnology,370730000.0
1301,CMS,CMS Energy,Multi-Utilities,20150000000.0
1302,CMT,Core Molding Technologies,Chemicals,90720000.0
1303,CMTG,Claros Mortgage Trust,REIT-Mortgage,2730000000.0
1304,CMTL,Comtech Telecommunications,Communications Equipment,324030000.0
1305,CNA,CNA Financial,Insurance,11980000000.0
1306,CNC,Centene,Health Care Providers & Services,48150000000.0
1307,CNCE,Concert Pharmaceuticals,Biotechnology,143500000.0
1308,CND,Concord Acquisition,Blank Check / SPAC,349350000.0
1309,CNDA,Concord Acquisition II,Blank Check / SPAC,337520000.0
1310,CNDB,Concord Acquisition III,Blank Check / SPAC,427370000.0
1311,CNDT,Conduent,IT Services,1000000000.0
1312,CNET,ZW Data Action Technologies,Media,10810000.0
1313,CNEY,CN Energy Group,Specialty Chemicals,33470000.0
1314,CNF,CNFinance Holdings,Thrifts & Mortgage Finance,183800000.0
1315,CNFR,Conifer Holdings,Insurance,15790000.0
1316,CNGL,Canna-Global Acquisition,Blank Check / SPAC,295510000.0
1317,CNHI,CNH Industrial,Machinery,24810000000.0
1318,CNI,Canadian National Railway Company,Road & Rail,76550000000.0
1319,CNK,Cinemark Holdings,Entertainment,1960000000.0
1320,CNM,Core & Main,Industrial Distribution,3800000000.0
1321,CNMD,CONMED,Health Care Equipment & Supplies,3420000000.0
1322,CNNB,Cincinnati Bancorp,Banks-Regional,42060000.0
1323,CNNE,Cannae Holdings,Diversified Financial Services,1630000000.0
1324,CNO,CNO Financial Group,Insurance,2330000000.0
1325,CNOB,ConnectOne Bancorp,Banks,1050000000.0
1326,CNP,CenterPoint Energy,Multi-Utilities,19530000000.0
1327,CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",70260000000.0
1328,CNR,Cornerstone Building Brands,Building Products,3100000000.0
1329,CNS,Cohen & Steers,Capital Markets,3550000000.0
1330,CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,702760000.0
1331,CNSP,CNS Pharmaceuticals,Pharmaceuticals,11600000.0
1332,CNTA,Centessa Pharmaceuticals,Biotechnology,507720000.0
1333,CNTB,Connect Biopharma Holdings,Biotechnology,41310000.0
1334,CNTG,Centogene,Biotechnology,88790000.0
1335,CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,159550000.0
1336,CNTX,Context Therapeutics,Pharmaceuticals,23150000.0
1337,CNTY,Century Casinos,"Hotels, Restaurants & Leisure",268920000.0
1338,CNVY,Convey Holding Parent,Health Information Services,393780000.0
1339,CNX,CNX Resources,"Oil, Gas & Consumable Fuels",3670000000.0
1340,CNXC,Concentrix,IT Services,7680000000.0
1341,CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1220000000.0
1342,CO,Global Cord Blood,Health Care Providers & Services,334270000.0
1343,COCO,The Vita Coco Company,Beverages-Non-Alcoholic,634460000.0
1344,COCP,Cocrystal Pharma,Pharmaceuticals,39540000.0
1345,CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",55050000.0
1346,CODI,Compass Diversified Holdings,Diversified Financial Services,1590000000.0
1347,CODX,Co-Diagnostics,Health Care Equipment & Supplies,154540000.0
1348,COE,China Online Education Group,Diversified Consumer Services,26060000.0
1349,COF,Capital One Financial,Consumer Finance,45770000000.0
1350,COFS,ChoiceOne Financial Services,Banks,164030000.0
1351,COGT,Cogent Biosciences,Biotechnology,186030000.0
1352,COHN,Cohen & Company,Capital Markets,21990000.0
1353,COHR,Coherent,"Electronic Equipment, Instruments & C...",6670000000.0
1354,COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1360000000.0
1355,COIN,Coinbase Global,Software-Application,17780000000.0
1356,COKE,Coca-Cola Consolidated,Beverages,4980000000.0
1357,COLB,Columbia Banking System,Banks,2240000000.0
1358,COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,7070000000.0
1359,COLI,Colicity,Blank Check / SPAC,421330000.0
1360,COLL,Collegium Pharmaceutical,Pharmaceuticals,531340000.00000006
1361,COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",5020000000.0
1362,COMM,CommScope Holding Company,Communications Equipment,1490000000.0
1363,COMP,Compass,Software-Application,2330000000.0
1364,COMS,ComSovereign Holding,Telecom Services,22710000.0
1365,CONN,Conn's,Specialty Retail,347760000.0
1366,CONX,CONX Corp.,Blank Check / SPAC,923730000.0
1367,COO,The Cooper Companies,Health Care Equipment & Supplies,16160000000.0
1368,COOK,Traeger,"Furnishings, Fixtures & Appliances",678530000.0
1369,COOL,Corner Growth Acquisition,Blank Check / SPAC,491000000.0
1370,COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,3160000000.0
1371,COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",133110000000.00002
1372,CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,40980000.0
1373,CORS,Corsair Partnering,Blank Check / SPAC,290010000.0
1374,CORT,Corcept Therapeutics,Pharmaceuticals,2009999999.9999998
1375,CORZ,Core Scientific,Software-Infrastructure,1340000000.0
